ups non doc,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_KG,USA,Canada,"Mexico, Puerto Rico",Germany,"Belgium, Netherlands, Luxembourg",UK,"Denmark, France, Italy, Spain, Switzerland","Austria, Ireland, Portugal, Sweden","Norway, Finland, Greece",Japan,South Korea,"Hong Kong, Singapore, Thailand, Malaysia",Australia,New Zealand,ZONE 1,ZONE 2,ZONE 3,ZONE 4,ZONE 6,ZONE 10,ZONE 7,ZONE 8,ZONE 9
33.5,19963,27794,22671,27648,27575,26160,31837,31893,33600,36284,46472,32522,20912,46470,46470,46520,46472,,,,,,
34,20171,28117,22963,28042,27943,26465,32204,32313,33990,36780,47198,32899,21131,47195,47195,47247,47198,,,,,,
34.5,20418,28480,23294,28475,28348,26898,32764,32772,34508,37315,47962,33469,21388,47959,47959,48012,47962,,,,,,
35,20627,28803,23586,28868,28716,27203,33130,33193,34898,37811,48688,33847,21607,48684,48684,48739,48688,,,,,,
35.5,20874,29166,23918,29301,29122,27637,33690,33652,35416,38346,49452,34417,21865,49448,49448,49504,49452,,,,,,
36,21082,29489,24210,29695,29489,27942,34057,34073,35806,38842,50178,34794,22084,50173,50173,50231,50178,,,,,,
36.5,21329,29851,24541,30128,29895,28375,34617,34532,36324,39377,50942,35365,22341,50937,50937,50996,50942,,,,,,
37,21537,30175,24833,30522,30262,28680,34984,34952,36714,39873,51668,35742,22560,51662,51662,51723,51668,,,,,,
37.5,21784,30537,25164,30955,30668,29114,35543,35411,37232,40408,52432,36312,22818,52426,52426,52488,52432,,,,,,
38,21993,30861,25456,31349,31035,29419,35910,35832,37622,40904,53158,36689,23037,53151,53151,53215,53158,,,,,,
38.5,22240,31223,25787,31781,31441,29852,36470,36291,38140,41439,53922,37260,23294,53915,53915,53980,53922,,,,,,
39,22448,31546,26080,32175,31808,30157,36837,36712,38530,41935,54648,37637,23513,54640,54640,54706,54648,,,,,,
39.5,22695,31909,26411,32608,32214,30590,37397,37171,39048,42470,55412,38207,23771,55404,55404,55472,55412,,,,,,
40,22903,32232,26703,33002,32581,30895,37763,37591,39438,42966,56138,38584,23990,56129,56129,56198,56138,,,,,,
40.5,23150,32595,27034,33435,32987,31329,38323,38051,39956,43501,56902,39155,24247,56893,56893,56964,56902,,,,,,
41,23359,32918,27326,33829,33354,31634,38690,38471,40346,43997,57628,39532,24466,57618,57618,57690,57628,,,,,,
41.5,23606,33280,27657,34261,33760,32067,39250,38930,40864,44532,58392,40102,24724,58382,58382,58456,58392,,,,,,
42,23814,33604,27950,34655,34128,32372,39616,39351,41254,45028,59118,40480,24943,59107,59107,59182,59118,,,,,,
42.5,24061,33966,28280,35088,34533,32806,40176,39810,41772,45563,59882,41050,25200,59871,59871,59947,59882,,,,,,
43,24269,34290,28573,35482,34901,33111,40543,40231,42162,46059,60608,41427,25419,60596,60596,60674,60608,,,,,,
43.5,24516,34652,28904,35915,35306,33544,41103,40690,42680,46594,61372,41997,25677,61360,61360,61439,61372,,,,,,
44,24725,34975,29196,36309,35674,33849,41469,41110,43070,47090,62098,42375,25896,62086,62086,62166,62098,,,,,,
44.5,24971,35338,29527,36741,36080,34282,42029,41569,43588,47625,62862,42945,26153,62849,62849,62931,62862,,,,,,
45,24992,39460,31828,37085,37703,35243,42295,44241,43961,48032,63474,43328,26195,63461,63461,63535,63474,,,,,,
45.5,25291,39886,32178,37457,38101,35586,42834,44644,44462,48509,64146,43877,26507,64134,64134,64200,64146,,,,,,
46,25550,40273,32489,37790,38461,35801,43180,45008,44835,48947,64779,44233,26780,64768,64768,64827,64779,,,,,,
46.5,25849,40699,32838,38161,38859,36144,43720,45411,45336,49424,65451,44782,27092,65440,65440,65492,65451,,,,,,
47,26109,41087,33149,38494,39219,36358,44066,45775,45708,49862,66085,45138,27365,66074,66074,66118,66085,,,,,,
47.5,26407,41513,33499,38865,39617,36701,44605,46178,46210,50338,66757,45687,27677,66747,66747,66783,66757,,,,,,
48,26667,41900,33810,39198,39977,36916,44951,46542,46582,50777,67391,46043,27950,67381,67381,67409,67391,,,,,,
48.5,26966,42326,34159,39569,40375,37259,45490,46945,47083,51253,68063,46592,28262,68054,68054,68074,68063,,,,,,
49,27226,42714,34470,39902,40735,37474,45837,47309,47456,51691,68696,46948,28536,68688,68688,68700,68696,,,,,,
49.5,27524,43140,34820,40274,41133,37817,46376,47712,47957,52168,69368,47497,28847,69360,69360,69365,69368,,,,,,
